station,elevation,date,T2M_MIN,T2M_MAX,T2M_RANGE,RH2M,WS2M,PS,PRECTOTCORR,frost
Puno,3825,2000-01-24,5.83,14.08,8.25,53.5,4.23,61.13,0.145,0
Puno,3825,2000-01-25,7.99,18.41,10.42,69.9,1.5,63.55,0.128,0
Puno,3825,2000-01-26,9.59,19.87,10.28,59.1,5.21,65.09,0.009,0
Puno,3825,2000-01-27,6.38,15.71,9.33,82.8,5.33,64.04,0.284,0
Puno,3825,2000-01-28,10.17,20.83,10.67,66.2,2.66,64.06,0.002,0
Puno,3825,2000-01-29,7.68,15.08,7.4,65.5,5.61,61.6,0.303,0
Puno,3825,2000-01-30,8.38,20.34,11.96,65.4,5.71,63.83,0.0,0
Puno,3825,2000-01-31,7.52,12.01,4.49,68.8,5.37,63.28,0.0,0
Puno,3825,2000-02-01,13.6,24.55,10.95,62.6,2.02,63.82,0.164,0
Puno,3825,2000-02-02,8.89,18.25,9.37,58.0,0.91,62.01,0.122,0
Puno,3825,2000-02-03,6.25,20.17,13.92,84.7,0.0,61.97,0.022,0
Puno,3825,2000-02-04,10.91,26.93,16.02,60.8,2.06,62.9,0.0,0
Puno,3825,2000-02-05,5.72,15.92,10.21,65.7,2.69,62.66,0.143,0
Puno,3825,2000-02-06,9.21,24.27,15.06,76.2,2.87,62.88,0.312,0
Puno,3825,2000-02-07,3.74,14.04,10.3,76.3,3.4,62.56,0.576,0
Puno,3825,2000-02-08,5.27,13.78,8.51,59.0,7.31,62.84,0.041,0
Puno,3825,2000-02-09,9.04,25.17,16.13,81.0,2.75,62.38,0.169,0
Puno,3825,2000-02-10,10.31,23.04,12.73,77.6,3.39,62.99,0.001,0
Puno,3825,2000-02-11,8.78,20.08,11.31,73.1,0.0,61.62,0.02,0
Puno,3825,2000-02-12,7.95,21.19,13.25,64.9,8.4,63.56,0.317,0
Puno,3825,2000-02-13,7.41,19.53,12.12,65.5,0.61,63.3,0.319,0
Puno,3825,2000-02-14,4.39,15.57,11.18,69.3,1.94,61.78,0.084,0
Puno,3825,2000-02-15,6.17,13.86,7.68,54.4,5.03,64.37,0.044,0
Puno,3825,2000-02-16,6.74,17.4,10.67,71.0,4.04,62.22,0.221,0
Puno,3825,2000-02-17,10.47,23.66,13.19,83.0,7.12,64.23,0.006,0
Puno,3825,2000-02-18,8.56,19.69,11.13,83.4,5.08,63.37,0.01,0
Puno,3825,2000-02-19,3.24,17.26,14.02,67.4,3.32,64.04,0.357,0
Puno,3825,2000-02-20,8.36,20.95,12.59,86.2,5.8,63.22,0.002,0
Puno,3825,2000-02-21,6.53,15.61,9.08,95.0,6.05,63.61,0.015,0
Puno,3825,2000-02-22,5.7,13.56,7.87,67.8,2.05,64.03,0.082,0
Puno,3825,2000-02-23,8.8,19.94,11.14,81.0,5.62,64.95,0.002,0
Puno,3825,2000-02-24,9.74,19.87,10.13,39.4,3.01,64.12,0.001,0
Puno,3825,2000-02-25,9.39,21.96,12.56,53.6,3.27,63.49,0.0,0
Puno,3825,2000-02-26,4.86,14.49,9.63,73.9,3.81,61.69,0.0,0
Puno,3825,2000-02-27,6.09,16.03,9.94,58.2,2.66,60.63,0.002,0
Puno,3825,2000-02-28,7.6,22.23,14.63,95.0,2.54,62.91,0.025,0
Puno,3825,2000-02-29,9.11,21.23,12.11,79.9,5.67,62.33,0.16,0
Puno,3825,2000-03-01,5.38,15.13,9.75,86.2,0.14,62.36,0.933,0
Puno,3825,2000-03-02,5.96,17.75,11.78,72.1,1.16,62.96,2.258,0
Puno,3825,2000-03-03,3.58,19.19,15.61,59.3,4.98,63.7,0.132,0
Puno,3825,2000-03-04,3.25,15.84,12.59,66.2,3.34,62.42,0.034,0
Puno,3825,2000-03-05,8.22,21.67,13.44,75.6,5.68,63.94,0.14,0
Puno,3825,2000-03-06,9.45,19.15,9.69,62.7,4.29,63.08,0.342,0
Puno,3825,2000-03-07,5.73,20.42,14.69,82.2,0.57,63.08,0.41,0
Puno,3825,2000-03-08,8.34,26.65,18.32,82.0,3.64,64.92,0.009,0
Puno,3825,2000-03-09,6.64,16.27,9.63,72.7,4.68,63.22,0.016,0
Puno,3825,2000-03-10,3.99,12.54,8.55,47.9,4.01,62.99,0.406,0
Puno,3825,2000-03-11,6.36,18.72,12.36,95.0,2.47,63.57,0.0,0
Puno,3825,2000-03-12,9.25,23.58,14.33,68.9,2.9,64.84,0.357,0
Puno,3825,2000-03-13,5.25,16.89,11.64,95.0,2.27,63.0,0.049,0
Puno,3825,2000-03-14,9.08,18.03,8.95,81.2,0.58,63.48,0.0,0
Puno,3825,2000-03-15,-1.5,10.11,11.61,72.3,0.28,62.93,0.001,1
Puno,3825,2000-03-16,7.05,20.65,13.6,79.0,4.36,62.94,0.203,0
Puno,3825,2000-03-17,5.1,15.89,10.79,45.0,1.58,62.55,0.083,0
Puno,3825,2000-03-18,4.02,17.66,13.64,88.0,4.77,62.48,0.306,0
Puno,3825,2000-03-19,4.88,20.09,15.21,95.0,2.19,64.74,0.014,0
Puno,3825,2000-03-20,-0.45,12.17,12.63,45.8,0.61,62.49,0.005,1
Puno,3825,2000-03-21,3.81,15.7,11.88,69.7,2.6,61.5,0.315,0
Puno,3825,2000-03-22,5.18,19.47,14.29,71.9,8.11,63.17,0.229,0
Puno,3825,2000-03-23,7.82,17.4,9.58,84.8,3.29,64.06,0.952,0
Puno,3825,2000-03-24,2.74,12.05,9.31,95.0,4.92,64.28,0.247,0
Puno,3825,2000-03-25,1.94,13.17,11.24,79.7,3.87,61.85,0.211,0
Puno,3825,2000-03-26,2.56,13.17,10.61,95.0,0.41,64.15,0.288,0
Puno,3825,2000-03-27,5.97,15.71,9.74,75.6,6.69,65.1,0.813,0
Puno,3825,2000-03-28,4.44,21.56,17.12,80.0,2.95,62.36,0.163,0
Puno,3825,2000-03-29,2.2,20.28,18.08,78.9,0.62,62.87,0.04,0
Puno,3825,2000-03-30,4.69,15.7,11.01,90.7,2.37,61.81,0.001,0
Puno,3825,2000-03-31,3.58,15.84,12.26,68.0,3.05,64.9,0.502,0
Puno,3825,2000-04-01,5.7,17.17,11.47,84.7,5.15,61.55,0.015,0
Puno,3825,2000-04-02,1.43,16.53,15.1,57.3,2.0,62.64,0.123,0
Puno,3825,2000-04-03,2.23,17.89,15.65,70.3,9.26,63.83,1.121,0
Puno,3825,2000-04-04,1.96,8.98,7.02,65.5,1.44,62.36,0.401,0
Puno,3825,2000-04-05,-0.81,12.52,13.33,76.5,4.85,62.05,0.047,1
Puno,3825,2000-04-06,3.48,11.82,8.33,69.5,0.0,62.99,0.376,0
Puno,3825,2000-04-07,3.32,20.24,16.91,89.8,3.23,65.43,0.013,0
Puno,3825,2000-04-08,2.54,15.76,13.22,61.9,4.31,62.79,0.026,0
Puno,3825,2000-04-09,1.8,11.47,9.68,50.2,1.04,62.84,0.204,0
Puno,3825,2000-04-10,-1.25,10.05,11.3,56.3,6.8,61.93,0.163,1
Puno,3825,2000-04-11,1.13,12.29,11.16,88.5,4.46,63.43,0.001,0
Puno,3825,2000-04-12,1.21,14.64,13.44,61.0,2.8,63.93,0.135,0
Puno,3825,2000-04-13,-0.09,14.79,14.88,80.5,4.43,62.44,0.009,1
Puno,3825,2000-04-14,1.42,10.15,8.74,70.3,2.19,63.58,0.28,0
Puno,3825,2000-04-15,2.73,19.83,17.09,85.6,6.25,62.44,0.047,0
Puno,3825,2000-04-16,6.36,22.8,16.43,69.7,5.73,61.15,1.859,0
Puno,3825,2000-04-17,1.99,11.47,9.48,95.0,4.32,63.5,0.577,0
Puno,3825,2000-04-18,2.11,14.23,12.12,95.0,4.85,65.12,0.467,0
Puno,3825,2000-04-19,1.22,17.92,16.7,70.0,0.25,61.85,0.3,0
Puno,3825,2000-04-20,-3.52,11.83,15.35,69.5,6.73,63.22,0.63,1
Puno,3825,2000-04-21,1.13,12.08,10.94,95.0,3.28,64.35,0.012,0
Puno,3825,2000-04-22,1.21,15.37,14.15,59.2,5.76,62.94,0.21,0
Puno,3825,2000-04-23,7.11,27.36,20.25,71.8,5.15,61.62,0.235,0
Puno,3825,2000-04-24,0.34,12.49,12.14,74.8,5.72,63.09,0.0,0
Puno,3825,2000-04-25,1.52,11.58,10.06,74.1,1.19,64.53,0.0,0
Puno,3825,2000-04-26,0.59,12.89,12.3,50.0,1.47,62.54,0.659,0
Puno,3825,2000-04-27,-2.33,10.17,12.5,82.2,8.45,63.27,0.003,1
Puno,3825,2000-04-28,3.33,13.65,10.32,59.9,0.16,61.99,2.169,0
Puno,3825,2000-04-29,2.26,15.27,13.01,93.9,1.09,62.94,0.008,0
Puno,3825,2000-04-30,2.26,10.5,8.25,53.3,3.6,63.43,0.146,0
Puno,3825,2000-05-01,-2.06,7.82,9.88,75.8,3.6,63.17,2.439,1
Puno,3825,2000-05-02,3.61,17.46,13.85,42.2,2.31,62.61,0.33,0
Puno,3825,2000-05-03,-3.44,3.35,6.8,45.1,4.86,63.49,0.022,1
Puno,3825,2000-05-04,1.4,15.62,14.22,62.1,5.48,63.71,0.137,0
Puno,3825,2000-05-05,5.31,11.35,6.04,62.8,3.46,63.78,0.01,0
Puno,3825,2000-05-06,-2.66,4.14,6.8,95.0,2.91,62.75,1.045,1
Puno,3825,2000-05-07,-1.69,8.55,10.24,74.0,3.45,62.42,6.786,1
Puno,3825,2000-05-08,-0.13,12.28,12.42,92.2,2.41,65.01,0.166,1
Puno,3825,2000-05-09,-1.71,13.6,15.3,69.2,0.0,63.18,0.088,1
Puno,3825,2000-05-10,-4.41,7.33,11.73,83.7,4.16,62.78,1.115,1
Puno,3825,2000-05-11,-0.45,10.41,10.86,63.9,5.18,61.57,0.25,1
Puno,3825,2000-05-12,-3.38,9.77,13.15,63.7,3.16,62.11,0.672,1
Puno,3825,2000-05-13,0.48,9.55,9.07,48.1,0.0,62.4,0.517,0
Puno,3825,2000-05-14,-3.07,8.8,11.87,79.3,2.24,63.48,1.298,1
Puno,3825,2000-05-15,2.98,11.08,8.1,76.4,5.49,62.69,0.993,0
Puno,3825,2000-05-16,-2.87,8.8,11.67,85.3,0.34,63.06,1.638,1
Puno,3825,2000-05-17,-1.76,9.29,11.05,77.1,5.03,61.61,0.01,1
Puno,3825,2000-05-18,1.0,10.14,9.13,95.0,2.52,64.45,0.017,0
Puno,3825,2000-05-19,-4.19,7.63,11.82,77.1,3.46,62.3,0.328,1
Puno,3825,2000-05-20,-0.58,11.2,11.78,87.4,1.99,63.28,0.012,1
Puno,3825,2000-05-21,2.06,16.66,14.6,68.1,1.0,62.51,0.007,0
Puno,3825,2000-05-22,-5.34,1.45,6.79,62.1,6.66,62.72,0.011,1
Puno,3825,2000-05-23,-0.86,10.19,11.04,83.4,5.29,62.25,0.323,1
Puno,3825,2000-05-24,-0.73,8.37,9.1,72.0,4.92,63.34,0.001,1
Puno,3825,2000-05-25,0.57,14.21,13.64,84.5,5.5,62.06,0.019,0
Puno,3825,2000-05-26,-4.48,8.81,13.29,79.2,4.61,63.36,0.002,1
Puno,3825,2000-05-27,-4.76,7.81,12.57,63.2,5.58,62.92,1.115,1
Puno,3825,2000-05-28,-0.17,8.98,9.15,87.9,2.04,63.67,0.021,1
Puno,3825,2000-05-29,-0.79,12.78,13.57,60.8,6.53,63.77,0.272,1
Puno,3825,2000-05-30,-1.0,5.77,6.78,81.7,6.33,62.72,0.193,1
Puno,3825,2000-05-31,-0.81,5.36,6.17,90.8,4.34,63.41,0.086,1
Puno,3825,2000-06-01,-3.4,4.03,7.43,68.1,2.87,62.59,0.0,1
Puno,3825,2000-06-02,-1.17,9.71,10.88,89.0,0.81,64.36,0.154,1
Puno,3825,2000-06-03,-1.06,11.77,12.83,78.2,4.0,62.68,1.132,1
Puno,3825,2000-06-04,-3.57,-1.0,2.58,85.3,7.21,62.84,0.234,1
Puno,3825,2000-06-05,2.85,17.44,14.58,59.6,0.95,62.57,4.069,0
Puno,3825,2000-06-06,-0.68,10.54,11.22,75.3,5.74,62.31,0.586,1
Puno,3825,2000-06-07,-4.85,1.58,6.43,53.8,2.46,65.08,0.048,1
Puno,3825,2000-06-08,-0.25,10.82,11.07,95.0,2.65,63.53,0.535,1
Puno,3825,2000-06-09,-4.42,9.39,13.81,45.0,0.91,63.11,0.021,1
Puno,3825,2000-06-10,-0.03,12.38,12.4,66.8,1.84,62.57,0.29,1
Puno,3825,2000-06-11,0.9,14.66,13.77,58.4,4.92,64.16,0.391,0
Puno,3825,2000-06-12,-4.07,2.76,6.83,82.3,5.2,62.5,0.63,1
Puno,3825,2000-06-13,0.4,9.87,9.47,95.0,4.02,63.16,0.53,0
Puno,3825,2000-06-14,-1.01,7.0,8.0,81.0,2.4,65.25,0.001,1
Puno,3825,2000-06-15,0.02,15.38,15.37,95.0,1.07,62.08,1.377,0
Puno,3825,2000-06-16,2.65,14.96,12.32,51.2,3.64,63.58,0.076,0
Puno,3825,2000-06-17,-2.71,15.76,18.47,53.8,2.7,63.33,0.001,1
Puno,3825,2000-06-18,-3.92,5.23,9.15,59.8,3.96,63.57,1.107,1
Puno,3825,2000-06-19,-4.3,4.1,8.4,74.1,2.79,62.76,0.037,1
Puno,3825,2000-06-20,-4.14,5.85,9.99,57.8,2.85,62.45,1.854,1
Puno,3825,2000-06-21,-2.31,11.9,14.22,61.1,3.85,63.27,0.362,1
Puno,3825,2000-06-22,-1.26,8.04,9.3,79.9,4.27,62.59,0.057,1
Puno,3825,2000-06-23,-1.45,9.19,10.64,53.8,6.19,60.71,0.0,1
Puno,3825,2000-06-24,-0.06,10.47,10.53,54.8,2.76,62.22,0.112,1
Puno,3825,2000-06-25,-2.06,8.27,10.33,65.6,4.7,62.73,0.029,1
Puno,3825,2000-06-26,1.56,9.92,8.36,65.7,7.47,61.96,1.957,0
Puno,3825,2000-06-27,-2.78,6.99,9.77,85.4,4.76,63.19,0.127,1
Puno,3825,2000-06-28,4.73,14.34,9.62,56.3,6.06,62.28,0.002,0
Puno,3825,2000-06-29,-0.47,9.6,10.06,60.3,2.13,63.0,0.076,1
Puno,3825,2000-06-30,-4.14,8.56,12.69,79.5,1.92,65.21,0.106,1
Puno,3825,2000-07-01,-4.64,10.3,14.95,82.7,3.15,64.27,0.01,1
Puno,3825,2000-07-02,-0.73,6.9,7.63,90.2,3.38,63.63,0.061,1
Puno,3825,2000-07-03,-2.45,6.4,8.85,77.2,5.86,64.85,0.027,1
Puno,3825,2000-07-04,-0.02,7.58,7.6,71.6,1.89,62.97,0.711,1
Puno,3825,2000-07-05,-0.63,9.77,10.4,77.9,3.31,62.98,0.0,1
Puno,3825,2000-07-06,-1.94,6.4,8.34,66.5,5.86,61.99,4.794,1
Puno,3825,2000-07-07,-3.85,6.63,10.48,66.8,3.97,64.32,0.192,1
Puno,3825,2000-07-08,-5.49,7.37,12.87,46.3,3.48,65.0,2.856,1
Puno,3825,2000-07-09,-2.84,-0.17,2.67,82.7,4.02,63.95,0.023,1
Puno,3825,2000-07-10,0.44,11.53,11.09,72.1,1.02,64.47,0.012,0
Puno,3825,2000-07-11,-1.16,7.23,8.39,80.4,0.98,60.3,0.618,1
Puno,3825,2000-07-12,-4.79,6.14,10.93,31.1,0.01,65.38,0.769,1
Puno,3825,2000-07-13,-1.23,5.86,7.1,68.7,3.95,62.94,0.014,1
Puno,3825,2000-07-14,-0.68,12.24,12.92,57.2,5.52,65.4,0.005,1
Puno,3825,2000-07-15,-3.82,8.27,12.1,91.0,5.18,64.77,0.542,1
Puno,3825,2000-07-16,-1.18,9.91,11.1,77.7,6.02,63.81,1.403,1
Puno,3825,2000-07-17,-1.43,10.27,11.69,72.4,6.7,62.7,0.167,1
Puno,3825,2000-07-18,-4.43,2.92,7.35,63.9,3.82,63.2,0.0,1
Puno,3825,2000-07-19,-0.62,7.05,7.67,74.3,3.36,61.13,0.066,1
Puno,3825,2000-07-20,-0.09,11.4,11.48,55.5,6.75,63.97,0.023,1
Puno,3825,2000-07-21,1.3,8.49,7.19,66.6,1.96,60.49,0.146,0
Puno,3825,2000-07-22,1.29,14.64,13.36,59.8,0.91,62.74,0.001,0
Puno,3825,2000-07-23,-4.72,3.65,8.37,95.0,2.75,64.59,0.012,1
Puno,3825,2000-07-24,-3.52,7.13,10.65,89.7,2.5,63.76,0.006,1
Puno,3825,2000-07-25,0.16,15.25,15.09,82.9,3.61,61.51,0.025,0
Puno,3825,2000-07-26,0.19,7.4,7.2,47.0,1.63,61.7,3.536,0
Puno,3825,2000-07-27,0.28,9.63,9.34,79.9,4.31,62.44,0.017,0
Puno,3825,2000-07-28,8.7,20.77,12.07,67.8,2.25,63.12,0.0,0
Puno,3825,2000-07-29,0.56,12.31,11.75,84.7,6.2,63.92,0.031,0
Puno,3825,2000-07-30,2.07,10.21,8.14,71.5,0.87,63.65,0.023,0
Puno,3825,2000-07-31,1.68,9.26,7.58,67.0,3.19,61.98,6.476,0
Puno,3825,2000-08-01,0.99,9.33,8.34,70.5,2.76,63.66,1.135,0
Puno,3825,2000-08-02,-1.36,11.66,13.02,42.5,4.01,63.77,0.255,1
Puno,3825,2000-08-03,1.37,9.52,8.16,56.2,5.54,63.53,0.0,0
Puno,3825,2000-08-04,-2.39,6.74,9.13,73.2,4.09,65.52,0.537,1
Puno,3825,2000-08-05,-0.94,6.75,7.69,83.4,3.22,63.77,0.2,1
Puno,3825,2000-08-06,-1.47,9.36,10.83,59.9,5.02,64.01,0.319,1
Puno,3825,2000-08-07,0.02,9.28,9.26,66.5,5.35,64.92,0.127,0
Puno,3825,2000-08-08,5.67,11.66,5.99,42.9,4.09,63.89,0.024,0
Puno,3825,2000-08-09,-4.69,1.36,6.06,88.8,4.35,62.49,0.0,1
Puno,3825,2000-08-10,1.79,4.94,3.15,81.9,4.92,64.28,0.036,0
Puno,3825,2000-08-11,-3.86,2.53,6.39,77.1,0.0,62.64,0.094,1
Puno,3825,2000-08-12,-0.94,9.97,10.91,72.7,2.73,62.06,0.722,1
Puno,3825,2000-08-13,3.05,15.42,12.37,87.5,4.33,62.15,0.716,0
Puno,3825,2000-08-14,0.59,11.15,10.56,55.1,2.86,64.27,1.127,0
Puno,3825,2000-08-15,-2.21,7.95,10.17,54.4,2.87,63.66,3.26,1
Puno,3825,2000-08-16,-1.22,7.02,8.23,81.7,4.32,64.1,0.076,1
Puno,3825,2000-08-17,2.29,13.03,10.73,79.6,4.37,63.67,0.0,0
Puno,3825,2000-08-18,-1.13,8.21,9.34,50.0,4.53,63.23,0.04,1
Puno,3825,2000-08-19,1.34,14.91,13.57,58.5,1.76,63.36,0.005,0
Puno,3825,2000-08-20,1.02,9.24,8.22,89.6,0.38,63.63,0.432,0
Puno,3825,2000-08-21,-0.64,11.59,12.23,72.1,5.27,62.44,0.021,1
Puno,3825,2000-08-22,6.45,17.34,10.9,75.2,1.87,61.75,0.0,0
Puno,3825,2000-08-23,2.81,13.29,10.49,49.0,1.71,62.56,0.212,0
Puno,3825,2000-08-24,-3.71,-0.93,2.78,76.3,1.52,63.59,0.063,1
Puno,3825,2000-08-25,1.91,12.9,10.99,45.5,6.03,62.39,2.357,0
Puno,3825,2000-08-26,-0.11,7.9,8.01,38.2,3.97,65.17,0.002,1
Puno,3825,2000-08-27,3.8,10.91,7.1,74.9,4.25,63.48,0.49,0
Puno,3825,2000-08-28,-0.26,3.92,4.18,86.0,5.02,63.16,0.022,1
Puno,3825,2000-08-29,1.52,9.81,8.29,61.8,3.41,62.44,0.549,0
Puno,3825,2000-08-30,3.21,11.59,8.39,57.1,5.73,63.96,0.001,0
Puno,3825,2000-08-31,4.23,8.86,4.63,88.4,0.87,61.83,0.147,0
Puno,3825,2000-09-01,-0.82,3.31,4.13,63.2,1.11,63.36,0.355,1
Puno,3825,2000-09-02,1.39,11.0,9.6,64.3,0.99,62.61,0.931,0
Puno,3825,2000-09-03,1.14,11.81,10.66,88.9,4.43,63.16,0.149,0
Puno,3825,2000-09-04,0.78,9.52,8.74,60.3,4.61,63.53,0.388,0
Puno,3825,2000-09-05,6.93,18.35,11.42,54.2,2.46,61.9,0.268,0
Puno,3825,2000-09-06,3.61,11.54,7.94,75.8,2.99,61.37,0.0,0
Puno,3825,2000-09-07,-0.49,7.52,8.01,55.6,6.29,62.11,0.009,1
Puno,3825,2000-09-08,5.0,10.58,5.58,61.9,1.97,63.92,1.086,0
Puno,3825,2000-09-09,8.15,11.92,3.77,44.4,4.15,63.42,0.021,0
Puno,3825,2000-09-10,5.51,18.83,13.32,66.3,1.99,62.64,0.085,0
Puno,3825,2000-09-11,-0.76,10.52,11.28,66.5,5.91,65.01,0.362,1
Puno,3825,2000-09-12,1.93,6.13,4.2,78.2,4.88,64.33,0.0,0
Puno,3825,2000-09-13,6.38,14.91,8.53,75.3,0.42,64.09,0.693,0
Puno,3825,2000-09-14,1.51,9.31,7.8,72.5,2.93,62.32,0.002,0
Puno,3825,2000-09-15,4.46,11.76,7.31,69.4,0.0,64.07,0.01,0
Puno,3825,2000-09-16,5.37,12.28,6.92,62.5,5.48,63.38,0.047,0
Puno,3825,2000-09-17,1.23,10.35,9.12,73.3,8.0,62.32,0.0,0
Puno,3825,2000-09-18,3.47,13.81,10.34,48.5,0.0,62.94,0.038,0
Puno,3825,2000-09-19,-4.33,4.84,9.17,33.5,0.36,62.0,0.0,1
Puno,3825,2000-09-20,1.35,9.05,7.7,80.9,3.87,62.33,0.0,0
Puno,3825,2000-09-21,3.41,11.0,7.59,73.5,3.46,61.9,0.09,0
Puno,3825,2000-09-22,1.02,11.67,10.65,63.0,2.6,64.0,0.004,0
Puno,3825,2000-09-23,8.37,17.68,9.32,77.6,0.0,62.97,0.007,0
Puno,3825,2000-09-24,0.81,9.03,8.22,54.5,4.21,62.1,0.037,0
Puno,3825,2000-09-25,3.39,11.3,7.91,54.1,5.45,63.56,0.422,0
Puno,3825,2000-09-26,4.92,13.9,8.97,51.7,9.76,63.04,0.371,0
Puno,3825,2000-09-27,8.32,15.01,6.69,70.5,6.38,64.09,0.412,0
Puno,3825,2000-09-28,1.25,11.55,10.3,42.5,0.64,63.18,0.185,0
Puno,3825,2000-09-29,7.84,12.82,4.99,51.9,3.47,61.61,0.003,0
Puno,3825,2000-09-30,5.04,11.89,6.85,67.5,4.8,62.55,0.091,0
Puno,3825,2000-10-01,2.68,12.39,9.71,47.3,1.99,61.89,0.044,0
Puno,3825,2000-10-02,6.41,11.24,4.83,53.8,5.22,63.61,0.463,0
Puno,3825,2000-10-03,5.85,9.44,3.6,32.3,5.05,64.13,0.68,0
Puno,3825,2000-10-04,3.9,12.08,8.18,72.3,6.22,61.5,0.514,0
Puno,3825,2000-10-05,5.67,8.92,3.26,53.7,5.26,62.92,0.597,0
Puno,3825,2000-10-06,4.65,9.02,4.37,48.2,4.13,64.19,0.011,0
Puno,3825,2000-10-07,6.05,16.18,10.13,45.1,2.1,61.48,0.017,0
Puno,3825,2000-10-08,7.48,14.93,7.44,56.9,0.66,62.61,0.0,0
Puno,3825,2000-10-09,9.88,21.5,11.62,40.0,3.98,63.04,0.463,0
Puno,3825,2000-10-10,2.91,7.56,4.65,91.4,2.61,64.11,0.005,0
Puno,3825,2000-10-11,11.47,19.24,7.77,28.2,2.82,63.59,0.074,0
Puno,3825,2000-10-12,1.35,10.51,9.16,58.4,5.97,63.79,1.602,0
Puno,3825,2000-10-13,5.92,10.69,4.77,64.8,6.51,63.64,0.669,0
Puno,3825,2000-10-14,7.89,18.83,10.94,51.9,0.78,62.67,0.003,0
Puno,3825,2000-10-15,7.2,16.69,9.49,66.0,3.04,64.69,0.002,0
Puno,3825,2000-10-16,5.0,8.56,3.56,52.5,2.55,62.37,0.674,0
Puno,3825,2000-10-17,6.1,14.07,7.97,84.8,4.19,60.26,0.523,0
Puno,3825,2000-10-18,5.53,14.7,9.17,47.9,0.0,61.24,0.161,0
Puno,3825,2000-10-19,5.39,11.84,6.45,30.7,0.29,62.93,0.012,0
Puno,3825,2000-10-20,9.08,13.05,3.97,44.4,3.24,62.71,0.005,0
Puno,3825,2000-10-21,7.94,16.84,8.9,68.3,5.23,62.51,0.171,0
Puno,3825,2000-10-22,5.41,19.73,14.32,62.1,3.67,63.19,0.384,0
Puno,3825,2000-10-23,9.49,16.55,7.06,73.0,4.98,64.24,0.004,0
Puno,3825,2000-10-24,8.1,20.65,12.55,70.0,3.93,63.5,0.037,0
Puno,3825,2000-10-25,9.45,15.52,6.07,53.7,6.31,63.69,0.39,0
Puno,3825,2000-10-26,9.11,17.9,8.79,55.9,6.77,61.96,0.0,0
Puno,3825,2000-10-27,5.54,15.91,10.36,58.4,1.83,62.52,0.108,0
Puno,3825,2000-10-28,6.27,14.46,8.19,90.0,5.44,63.74,0.143,0
Puno,3825,2000-10-29,9.6,17.0,7.4,72.4,4.62,63.15,0.809,0
Puno,3825,2000-10-30,9.28,19.56,10.28,89.3,9.01,63.52,0.234,0
Puno,3825,2000-10-31,7.84,21.4,13.56,75.1,1.74,63.66,0.0,0
Puno,3825,2000-11-01,8.29,17.42,9.12,62.3,3.24,63.21,0.015,0
Puno,3825,2000-11-02,11.25,18.1,6.86,48.1,1.23,64.62,0.117,0
Puno,3825,2000-11-03,6.64,14.43,7.79,66.6,1.36,62.51,0.001,0
Puno,3825,2000-11-04,9.54,24.94,15.39,62.1,4.35,62.22,0.196,0
Puno,3825,2000-11-05,7.79,16.52,8.73,62.2,3.95,61.28,0.0,0
Puno,3825,2000-11-06,7.78,14.49,6.71,60.7,4.69,63.79,0.076,0
Puno,3825,2000-11-07,11.15,16.34,5.19,33.9,4.64,62.47,0.024,0
Puno,3825,2000-11-08,10.53,13.84,3.31,80.5,2.98,64.31,0.185,0
